Test1: Formation of (S,G) Broadcast Tree
Having Client0 and Client1 interested
About to start TCP server...
pim.KernelEntry.DownstreamInterface.JoinPrune      DEBUG    2020-06-17 17:28:04,111 (10.1.1.100,224.12.12.12)           1  eth1  R4 receivedJoin, NI -> NI
pim.KernelEntry.UpstreamInterface.JoinPrune        DEBUG    2020-06-17 17:28:04,111 (10.1.1.100,224.12.12.12)           0  eth0  R6 seeJoinToRPFnbr, F -> F
pim.KernelEntry.DownstreamInterface.JoinPrune      DEBUG    2020-06-17 17:28:04,187 (10.1.1.100,224.12.12.12)           1  eth1  R7 Downstream state transitions to NoInfo
pim.KernelEntry.DownstreamInterface.JoinPrune      DEBUG    2020-06-17 17:28:04,190 (10.1.1.100,224.12.12.12)           2  eth2  R7 Downstream state transitions to NoInfo
pim.KernelEntry.DownstreamInterface.JoinPrune      DEBUG    2020-06-17 17:28:04,288 (10.1.1.100,224.12.12.12)           2  eth2  R2 receivedPrune, NI -> PP
pim.KernelEntry.DownstreamInterface.JoinPrune      DEBUG    2020-06-17 17:28:04,289 (10.1.1.100,224.12.12.12)           2  eth2  R2 Downstream state transitions to PrunePending
pim.KernelEntry.DownstreamInterface.JoinPrune      DEBUG    2020-06-17 17:28:04,293 (10.1.1.100,224.12.12.12)           2  eth2  R2 PPTexpires, PP -> P
pim.KernelEntry.DownstreamInterface.JoinPrune      DEBUG    2020-06-17 17:28:04,294 (10.1.1.100,224.12.12.12)           2  eth2  R2 Downstream state transitions to Pruned
pim.KernelEntry.UpstreamInterface.JoinPrune        DEBUG    2020-06-17 17:28:04,297 (10.1.1.100,224.12.12.12)           0  eth0  R2 olistIsNowNull, F -> P
pim.KernelEntry.UpstreamInterface.JoinPrune        DEBUG    2020-06-17 17:28:04,297 (10.1.1.100,224.12.12.12)           0  eth0  R2 Upstream state transitions to Pruned
